model,order,nMom,L1,Linf,symmetry_L1_rel,min_rho,runtime_s,n_steps,test_case,variant,limiter
PN,3,4,0.0037291269913185,0.00240703068077264,7.13129780879227e-14,0.15397743727268,0.4027283,1,Gauss,baseline,paper
MN,1,2,0.00383524279145472,0.00282844992992559,0.000661860113790385,0.153971105736289,1.0177191,1,Gauss,baseline,paper
PN,3,4,0.0037291269914004,0.00240703068084325,8.16089247723493e-14,0.153977437272648,6.5155222,1,Gauss,baseline,mcl
MN,1,2,0.00384018881447749,0.00270820073835432,0.00018417293451837,0.153971105736257,6.1339109,1,Gauss,baseline,mcl
HOLOM1PN,3,4,0.00372912699140693,0.00240703068080106,6.13421665619519e-14,0.153977437272654,11.5080392,1,Gauss,holo,mcl
PN,3,4,0.0347287463643536,0.0560735432820025,1.974830050732,1e-08,0.3538486,1,Heaviside,baseline,paper
MN,1,2,0.0340100150653146,0.0558693368075318,1.97635438272206,1e-08,1.361463,1,Heaviside,baseline,paper
PN,3,4,0.03472581313302,0.0560674323834278,1.9748325104698,1e-08,5.9965158,1,Heaviside,baseline,mcl
MN,1,2,0.0348755097645241,0.0565289887709108,1.97470617495333,1e-08,6.6700183,1,Heaviside,baseline,mcl
HOLOM1PN,3,4,0.0347258131331163,0.0560674323836283,1.97483251046973,1e-08,11.3607892,1,Heaviside,holo,mcl
PN,3,4,0.567508907510161,1.9404301532971,1.99411825040369,1e-08,0.3045089,1,CrossingBeams,baseline,paper
MN,1,2,0.567528951366683,1.94046271661886,1.99140577293594,1e-08,1.4540676,1,CrossingBeams,baseline,paper
PN,3,4,0.567508925835809,1.94042997228856,1.99411872664204,1e-08,5.8057873,1,CrossingBeams,baseline,mcl
MN,1,2,0.567528953241707,1.94046270099361,1.99140577293684,1e-08,6.8223737,1,CrossingBeams,baseline,mcl
HOLOM1PN,3,4,0.567508925835809,1.94042997228856,1.99411872664203,1e-08,11.3157702,1,CrossingBeams,holo,mcl
