case,model,order,nMom,L1,Linf,runtime_s,time_project_s,time_solve_s,time_eval_s,iterations,converged,time_model_build_s,time_quad_build_s
Gauss,HFMn,4,4,0.0536912678254016,0.0946700120863322,0.1344314,0.001385,0.1212804,0.0024055,7,1,0.0013068,0.0178101
Heaviside,HFMn,4,4,0.253735597750388,0.617038525637389,0.0069544,0.0002736,0.0055357,0.0004239,24,1,0.0013068,0.0178101
Gauss,HFMn,8,8,0.00999972969150387,0.0207805057174127,0.0073538,0.0002575,0.0034716,0.0027138,7,1,0.0036297,0.0117515
Heaviside,HFMn,8,8,0.117279245379512,0.617341541406603,0.0028317,0.0003473,0.0015736,0.0002723,24,1,0.0036297,0.0117515
Gauss,PMMn,4,4,0.106257851781797,0.225761200620262,0.0125965,0.001103,0.005656,0.0006428,6,1,0.0043911,0.004069
Heaviside,PMMn,4,4,0.0100831823061391,0.176285950127175,0.0034698,0.000864,0.0010593,0.001128,25,1,0.0043911,0.004069
Gauss,PMMn,8,8,0.0303202013681547,0.197364313628697,0.0042638,0.0008261,0.0026864,0.0006178,7,1,0.0003252,0.0038411
Heaviside,PMMn,8,8,0.0097248060142216,0.031102355436488,0.0015477,0.0006166,0.0007961,8.35e-05,25,1,0.0003252,0.0038411
Gauss,PMPn,4,4,0.0376176963476175,0.980802112732683,0.0010745,4.95e-05,8.06e-05,0.0001164,0,1,0.0007314,0.0104538
Heaviside,PMPn,4,4,0.0238810714012738,0.0571428620476317,0.0003658,2.74e-05,3.78e-05,6.57e-05,0,1,0.0007314,0.0104538
Gauss,PMPn,8,8,0.0309384367176963,0.917491709214448,0.000204,1.74e-05,3.68e-05,6.13e-05,0,1,0.0002245,0.0026232
Heaviside,PMPn,8,8,0.0192859523683816,1.02857142857146,0.0001461,1.12e-05,2.21e-05,5.26e-05,0,1,0.0002245,0.0026232
